experiment,cv_f1_macro
tuned_random_forest,0.7382
tuned_hist_gb,0.7333
benchmark_random_forest,0.7209
outlier_quantile,0.7209
pca_random_forest_n=all,0.7209
imputer_median,0.7209
outlier_iqr,0.7207
benchmark_xgb,0.7185
tuned_svm,0.7182
imputer_knn,0.7148
pca_svm_n=all,0.7119
benchmark_svm,0.7119
pca_random_forest_n=10,0.7094
benchmark_knn,0.7094
benchmark_hist_gb,0.7055
pca_svm_n=10,0.7036
pca_random_forest_n=8,0.7002
pca_svm_n=8,0.7002
pca_random_forest_n=6,0.6999
pca_svm_n=6,0.6977
pca_svm_n=4,0.6951
pca_random_forest_n=4,0.6792
benchmark_logreg,0.6719
pca_logreg_n=all,0.6719
pca_logreg_n=10,0.6643
pca_svm_n=2,0.6384
pca_logreg_n=8,0.6376
pca_random_forest_n=2,0.6148
pca_logreg_n=6,0.613
pca_logreg_n=4,0.5782
pca_logreg_n=2,0.5512
